abandon,2,,,,-2
abandoned,2,,,,-2
abandons,2,,,,-2
abducted,2,,,,-2
abduction,2,,,,-2
abductions,2,,,,-2
abhor,1,,,,-3
abhorred,1,,,,-3
abhorrent,1,,,,-3
abhors,1,,,,-3
abilities,4,,,,2
ability,4,,,,2
aboard,3,,,,1
absentee,2,,,,-1
absentees,2,,,,-1
absolve,4,,,,2
absolved,4,,,,2
absolves,4,,,,2
absolving,4,,,,2
absorbed,3,,,,1
abuse,1,,,,-3
abused,1,,,,-3
abuses,1,,,,-3
abusive,1,,,,-3
accept,3,,,,1
accepted,3,,,,1
accepting,3,,,,1
accepts,3,,,,1
accident,2,,,,-2
accidental,2,,,,-2
accidentally,2,,,,-2
accidents,2,,,,-2
accomplish,4,,,,2
accomplished,4,,,,2
accomplishes,4,,,,2
accusation,2,,,,-2
accusations,2,,,,-2
accuse,2,,,,-2
accused,2,,,,-2
accuses,2,,,,-2
accusing,2,,,,-2
ache,2,,,,-2
achieve,5,,,,5
achievable,3,,,,1
aching,2,,,,-2
acquit,4,,,,2
acquits,4,,,,2
acquitted,4,,,,2
acquitting,4,,,,2
acrimonious,1,,,,-3
active,3,,,,1
adequate,3,,,,1
admire,4,,,,3
admired,4,,,,3
admires,4,,,,3
admiring,4,,,,3
admit,2,,,,-1
admits,2,,,,-1
admitted,2,,,,-1
admonish,2,,,,-2
admonished,2,,,,-2
adopt,3,,,,1
adopts,3,,,,1
adorable,4,,,,3
adore,4,,,,3
adored,4,,,,3
adores,4,,,,3
advanced,3,,,,1
advantage,4,,,,2
advantages,4,,,,2
adventure,4,,,,2
adventures,4,,,,2
adventurous,4,,,,2
affected,2,,,,-1
affection,4,,,,3
affectionate,4,,,,3
afflicted,2,,,,-1
affronted,2,,,,-1
afraid,2,,,,-2
aggravate,2,,,,-2
aggravated,2,,,,-2
aggravates,2,,,,-2
aggravating,2,,,,-2
aggression,2,,,,-2
aggressions,2,,,,-2
aggressive,2,,,,-2
aghast,2,,,,-2
agog,4,,,,2
agonise,1,,,,-3
agonised,1,,,,-3
agonises,1,,,,-3
agonising,1,,,,-3
agonize,1,,,,-3
agonized,1,,,,-3
agonizes,1,,,,-3
agonizing,1,,,,-3
agree,3,,,,1
agreeable,4,,,,2
agreed,3,,,,1
agreement,3,,,,1
agrees,3,,,,1
alarm,2,,,,-2
alarmed,2,,,,-2
alarmist,2,,,,-2
alarmists,2,,,,-2
alas,2,,,,-1
alert,2,,,,-1
alienation,2,,,,-2
alive,3,,,,1
allergic,2,,,,-2
allow,3,,,,1
alone,2,,,,-2
amaze,4,,,,2
amazed,4,,,,2
amazes,4,,,,2
amazing,5,,,,4
ambitious,4,,,,2
ambivalent,2,,,,-1
amuse,4,,,,3
amused,4,,,,3
amusement,4,,,,3
amusements,4,,,,3
anger,1,,,,-3
angers,1,,,,-3
angry,1,,,,-3
anguish,1,,,,-3
anguished,1,,,,-3
animosity,2,,,,-2
annoy,2,,,,-2
annoyance,2,,,,-2
annoyed,2,,,,-2
annoying,2,,,,-2
annoys,2,,,,-2
antagonistic,2,,,,-2
anti,2,,,,-1
anticipation,3,,,,1
anxiety,2,,,,-2
anxious,2,,,,-2
apathetic,1,,,,-3
apathy,1,,,,-3
apeshit,1,,,,-3
apocalyptic,2,,,,-2
apologise,2,,,,-1
apologised,2,,,,-1
apologises,2,,,,-1
apologising,2,,,,-1
apologize,2,,,,-1
apologized,2,,,,-1
apologizes,2,,,,-1
apologizing,2,,,,-1
apology,2,,,,-1
appalled,2,,,,-2
appalling,2,,,,-2
appease,4,,,,2
appeased,4,,,,2
appeases,4,,,,2
appeasing,4,,,,2
applaud,4,,,,2
applauded,4,,,,2
applauding,4,,,,2
applauds,4,,,,2
applause,4,,,,2
appreciate,4,,,,2
appreciated,4,,,,2
appreciates,4,,,,2
appreciating,4,,,,2
appreciation,4,,,,2
apprehensive,2,,,,-2
approval,4,,,,2
approved,4,,,,2
approves,4,,,,2
ardent,3,,,,1
arrest,2,,,,-2
arrested,1,,,,-3
arrests,2,,,,-2
arrogant,2,,,,-2
ashame,2,,,,-2
ashamed,2,,,,-2
ass,1,,,,-4
assassination,1,,,,-3
assassinations,1,,,,-3
asset,4,,,,2
assets,4,,,,2
assfucking,1,,,,-4
asshole,1,,,,-4
astonished,4,,,,2
astound,4,,,,3
astounded,4,,,,3
astounding,4,,,,3
astoundingly,4,,,,3
astounds,4,,,,3
attack,2,,,,-1
attacked,2,,,,-1
attacking,2,,,,-1
attacks,2,,,,-1
attract,3,,,,1
attracted,3,,,,1
attracting,4,,,,2
attraction,4,,,,2
attractions,4,,,,2
attracts,3,,,,1
audacious,4,,,,3
authority,3,,,,1
avert,2,,,,-1
averted,2,,,,-1
averts,2,,,,-1
avid,4,,,,2
avoid,2,,,,-1
avoided,2,,,,-1
avoids,2,,,,-1
await,2,,,,-1
awaited,2,,,,-1
awaits,2,,,,-1
award,4,,,,3
awarded,4,,,,3
awards,4,,,,3
awesome,5,,,,4
awful,1,,,,-3
awkward,2,,,,-2
axe,2,,,,-1
axed,2,,,,-1
backed,3,,,,1
backing,4,,,,2
backs,3,,,,1
bad,1,,,,-3
badass,1,,,,-3
badly,1,,,,-3
bailout,2,,,,-2
bamboozle,2,,,,-2
bamboozled,2,,,,-2
bamboozles,2,,,,-2
ban,2,,,,-2
banish,2,,,,-1
bankrupt,1,,,,-3
bankster,1,,,,-3
banned,2,,,,-2
bargain,4,,,,2
barrier,2,,,,-2
bastard,0,,,,-5
bastards,0,,,,-5
battle,2,,,,-1
battles,2,,,,-1
beaten,2,,,,-2
beatific,4,,,,3
beating,2,,,,-1
beauties,4,,,,3
beautiful,4,,,,3
beautifully,4,,,,3
beautify,4,,,,3
belittle,2,,,,-2
belittled,2,,,,-2
beloved,4,,,,3
benefit,4,,,,2
benefits,4,,,,2
benefitted,4,,,,2
benefitting,4,,,,2
bereave,2,,,,-2
bereaved,2,,,,-2
bereaves,2,,,,-2
bereaving,2,,,,-2
best,4,,,,3
betray,1,,,,-3
betrayal,1,,,,-3
betrayed,1,,,,-3
betraying,1,,,,-3
betrays,1,,,,-3
better,4,,,,2
bias,2,,,,-1
biased,2,,,,-2
big,3,,,,1
bitch,0,,,,-5
bitches,0,,,,-5
bitter,2,,,,-2
bitterly,2,,,,-2
bizarre,2,,,,-2
blah,2,,,,-2
blame,2,,,,-2
blamed,2,,,,-2
blames,2,,,,-2
blaming,2,,,,-2
bless,4,,,,2
blesses,4,,,,2
blessing,4,,,,3
blind,2,,,,-1
bliss,4,,,,3
blissful,4,,,,3
blithe,4,,,,2
block,2,,,,-1
blockbuster,4,,,,3
blocked,2,,,,-1
